time,close,open,high,low
2022-03-11,1466.54,1479.08,1480.29,1458.88
2022-03-14,1446.25,1466.54,1466.54,1439.19
2022-03-15,1452.74,1446.25,1453.07,1437.27
2022-03-16,1459.33,1452.74,1462.98,1452.74
2022-03-17,1461.34,1459.33,1467.74,1459.14
2022-03-18,1469.10,1461.34,1474.86,1461.34
2022-03-21,1494.95,1474.78,1494.95,1474.38
2022-03-22,1503.78,1494.95,1507.71,1494.95
2022-03-23,1502.34,1503.78,1513.90,1501.67
2022-03-24,1498.26,1502.34,1505.39,1495.18
2022-03-25,1498.50,1500.17,1503.29,1494.55
2022-03-28,1483.18,1498.50,1498.50,1473.80
2022-03-29,1497.76,1483.18,1498.45,1483.18
2022-03-30,1490.51,1497.76,1503.89,1483.90
2022-03-31,1492.15,1490.51,1498.41,1488.27
2022-04-01,1516.44,1492.15,1516.87,1484.13
2022-04-04,1524.70,1516.44,1530.95,1516.44
2022-04-05,1520.03,1524.70,1527.57,1519.28
2022-04-06,1522.90,1520.03,1523.75,1507.62
2022-04-07,1502.35,1522.90,1524.92,1502.35
2022-04-08,1482.00,1502.35,1507.73,1482.00
2022-04-12,1455.25,1482.00,1490.58,1455.25
2022-04-13,1477.20,1455.25,1477.20,1448.52
2022-04-14,1472.12,1477.20,1484.34,1471.75
2022-04-15,1458.56,1472.12,1478.95,1456.39
2022-04-18,1432.60,1458.56,1458.56,1425.07
2022-04-19,1406.45,1432.60,1442.04,1406.45
2022-04-20,1384.72,1401.63,1410.64,1384.72
2022-04-21,1370.21,1384.72,1392.33,1356.58
2022-04-22,1379.23,1370.21,1392.89,1352.43
2022-04-25,1310.92,1379.23,1382.13,1298.38
2022-04-26,1341.34,1310.92,1341.34,1261.40
2022-04-27,1353.77,1341.34,1355.92,1314.81
2022-04-28,1350.99,1353.77,1358.07,1344.10
2022-04-29,1366.80,1350.99,1369.31,1343.24
2022-05-04,1348.68,1366.11,1366.39,1348.68
2022-05-05,1360.68,1348.68,1362.18,1331.41
2022-05-06,1329.26,1360.68,1360.68,1328.13
2022-05-09,1269.62,1329.26,1329.26,1265.54
2022-05-10,1293.56,1269.62,1293.56,1232.57
2022-05-11,1301.53,1293.56,1305.17,1277.91
2022-05-12,1238.84,1301.53,1301.53,1238.05
2022-05-13,1182.77,1238.84,1238.84,1180.60
2022-05-16,1171.95,1182.77,1215.96,1170.59
2022-05-17,1228.37,1171.95,1228.37,1156.54
2022-05-18,1240.76,1228.37,1249.84,1222.92
2022-05-19,1241.64,1240.76,1246.66,1210.43
2022-05-20,1240.71,1241.64,1252.96,1232.33
2022-05-23,1218.81,1240.71,1246.58,1207.99
2022-05-24,1233.38,1218.81,1233.38,1203.28
